ShipmentID,OrderID,Order#,SKU,ItemDescription,UnitPrice,Quantity,ExtendedPrice,ShipDate,StoreName,Carrier,Provider,Service,Tracking#,Warehouse
"153348327","283849718","862804","17612","FREE CASE- OraCare Health Rinse","0.00","2","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068039329","Axiom"
"153348300","283849350","862803","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068038090","Axiom"
"153348277","283848570","862802","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068031270","Axiom"
"153348270","283848558","862801","17612","FREE CASE- OraCare Health Rinse","0.00","2","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068034544","Axiom"
"153348250","283848429","862800","17612","FREE CASE- OraCare Health Rinse","0.00","2","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068030652","Axiom"
"153348238","283848406","862798","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068031854","Axiom"
"153348229","283848383","862803","17612","OraCare Health Rinse (Case of 8)","254.00","2","508.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068030023","Axiom"
"153348622","283848378","862802","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068052727","Axiom"
"153348605","283848377","862799","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068052782","Axiom"
"153348582","283848374","862798","17612","OraCare Health Rinse (Case of 8)","254.00","4","1016.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068049308","Axiom"
"153348509","283848372","862804","17612","OraCare Health Rinse (Case of 8)","254.00","8","2032.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068043321","Axiom"
"153348369","283848367","862800","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068039086","Axiom"
"153348305","283848364","862801","17612","OraCare Health Rinse (Case of 8)","254.00","6","1524.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068034279","Axiom"
"150752781","279043933","862436","17612","OraCare Health Rinse (Case of 8)","228.60","2","457.20","4/17/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380594155105","Axiom"
"150752770","279043932","862433","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","4/17/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380594150364","Axiom"
"153348239","283843259","862793","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068032405","Axiom"
"153348232","283842218","862792","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068030480","Axiom"
"153348219","283842140","862789","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068030104","Axiom"
"153348484","283841645","862788","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068047739","Axiom"
"153348463","283841519","862787","17612","FREE CASE- OraCare Health Rinse","0.00","2","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068046375","Axiom"
"153348421","283841168","862786","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068045883","Axiom"
"153348402","283841127","862784","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068043560","Axiom"
"153348382","283841102","862795","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068043685","Axiom"
"153348367","283841101","862794","17612","OraCare Health Rinse (Case of 8)","254.00","4","1016.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068039395","Axiom"
"150752740","279043929","862433","17612","OraCare Health Rinse (Case of 8)","0.00","1","0.00","4/17/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380594149625","Axiom"
"150752711","278879807","862429","17612","OraCare Health Rinse (Case of 8)","254.00","2","508.00","4/17/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380594144575","Axiom"
"153348290","283841093","862786","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068030663","Axiom"
"153348247","283841089","862797","17612","OraCare Health Rinse (Case of 8)","254.00","3","762.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068026454","Axiom"
"153348221","283841085","862788","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068029762","Axiom"
"153348618","283841082","862782","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068049488","Axiom"
"153348598","283841078","862796","17612","OraCare Health Rinse (Case of 8)","254.00","2","508.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068050952","Axiom"
"153348551","283841074","862793","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068047224","Axiom"
"153348443","283841071","862792","17612","OraCare Health Rinse (Case of 8)","254.00","2","508.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068044718","Axiom"
"153348401","283841068","862789","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068044501","Axiom"
"153348383","283841066","862785","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068043674","Axiom"
"153348348","283841056","862784","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068038300","Axiom"
"153348283","283841051","862787","17612","OraCare Health Rinse (Case of 8)","254.00","6","1524.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068031383","Axiom"
"153348231","283841050","862783","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068030582","Axiom"
"153348218","283819873","862781","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground Hm","381068029821","Axiom"
"153348494","283819853","862781","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground Hm","381068038859","Axiom"
"150752787","278852096","862428","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","4/17/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380594155116","Axiom"
"153348368","283657127","862779","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068042428","Axiom"
"150752772","278852095","862428","17612","OraCare Health Rinse (Case of 8)","0.00","1","0.00","4/17/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380594154680","Axiom"
"153348254","283627342","862776","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068033949","Axiom"
"153348236","283592708","862770","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/5/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381068031475","Axiom"
"153127004","283576341","862768","17612","FREE CASE- OraCare Health Rinse","0.00","3","0.00","5/4/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381029769080","Axiom"
"150752701","278802623","862411","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","4/17/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380594144976","Axiom"
"153870961","284674985","862919","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/8/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381165146956","Axiom"
"151614812","280674224","862550","17612","OraCare Health Rinse (Case of 8)","254.00","12","3048.00","4/23/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380755291078","Axiom"
"151614747","280674223","862550","17612","OraCare Health Rinse (Case of 8)","0.00","3","0.00","4/23/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380755287410","Axiom"
"151614731","280654419","862548","17612","OraCare Health Rinse (Case of 8)","254.00","12","3048.00","4/23/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380755277980","Axiom"
"153870963","284542257","862916","17612","OraCare Health Rinse (Case of 8)","254.00","12","3048.00","5/8/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381165139998","Axiom"
"153870913","284542253","862915","17612","OraCare Health Rinse (Case of 8)","254.00","2","508.00","5/8/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381165136793","Axiom"
